Từ,Ý nghĩa,Ví dụ tiếng miền Tây,Ví dụ tiếng phổ thông,
À há,"(nhẹ giọng) biểu thị sự đồng tình, vui, có ít ngạc nhiên, mang sắc thái thân tỉnh",A há! Mấy đến chơi Hai tiếng reo mừng à há khá đặc biệt khiến chúng tôi ngây ngất Gái ở miền U Minh đâu biết dùng tiếng ấy,A há! Mấy đến chơi Hai tiếng reo mừng à há khá đặc biệt khiến chúng tôi ngây ngất Gái ở miền U Minh đâu biết dùng tiếng ấy,
À há,"(nặng giọng) biểu thị sự răn đe, hăm dọa, có sắc thái nghiêm",À há! Riết rồi tụi bây coi tao không ra gì phải hôn?,À há! Riết rồi bọn cậu coi tớ không ra gì phải không?,
A hành a tỏi,"ác độc, có ý thức, có tâm tính, muốn làm và làm những hành động gây tai hại cho người khác","Ai mà lạ gì con mẹ a hành a tỏi ấy mà mây nói, con con mẻ, mẻ còn đày nói chi con ở",Hắn là một tay giang hồ có thế lực,
A hành a tỏi,"mắng nhiếc, có những lời nói nặng, độc ác nhằm hạ nhục, hoặc hành hạ người khác","Mới sáng sớm, ngồi đó mà a hành a tỏi ai vậy bà?","Mới sáng sớm, ngồi đó mà mắng nhiếc ai vậy bà?",
Á khẩu,"ở tình trạng bệnh làm ảnh hưởng tới dây thần kinh miệng nên không thể phát ngôn, nói chuyện bình thường được","Nhưng giọng run rẩy của ông Hai Kiếm vang ra từng đợt: 
 
 - Cứu tao tao gần chết á khẩu Tư Hưng công ông Hai Kiểm vào nhà đốt lửa hơ, cạo gió,","Nhưng giọng run rẩy của ông Hai Kiếm vang ra từng đợt: 
 
 - Cứu tớ tớ gần chết á khẩu Tư Hưng công ông Hai Kiểm vào nhà đốt lửa hơ, cạo gió,",
A lê hấp,"allez hate ngay lập tức, tức thì, vội vàng, có tính chất gấp rút, khẩn trương, không thể chần chừ, a lê húp","Ai không mua vé là a lê hấp cho xuống xe ngay, hồng có một hai gì nữa","Ai không mua vé là lập tức cho xuống xe ngay, không có một hai gì nữa",
A lê hấp,"allez hate, ngay lập tức, tức thì, vội vàng, có tính chất gấp rút, khẩn trương, không thể chần chừ,  a lê húp",Không thì a lê hấp ra riêng,Không thì nhanh chóng ra riêng,
A lê húp,"có tính chất hối thúc, yêu cầu nhanh lẹ, a lê hấp",Xong chưa? - Rồi thì a lê húp rời khỏi đây ngay kẻo trễ,Xong chưa? - Rồi thì nhanh chóng rời khỏi đây ngay kẻo trễ,
A móc,amoxycillin cách gọi tắt một loại thuốc trụ sinh được dùng phổ biến và trở nên quen thuộc với mọi người,"Chị ơi, bán cho tôi mua mấy viên a móc đi","Chị ơi, bán cho tôi mua mấy viên amoxycillin đi",
Á ngộ,"cách nói biểu cảm, biểu thị sự nhận thức ra một điều phi lí và thể hiện một sự ngạc nhiên lớn, thường dược dùng ở đầu phát ngôn","Á ngộ, đi câu lén mà còn ca mùi chọ bị bắt, bị lạy","Á ngộ, đi câu lén mà còn ca mùi chọ bị bắt, bị lạy",
A thần phù,"thình lình, bất ngờ, không ai ngờ, ngoài dự đoán, dự tính","Khi không, a thần phù xấn lại đánh người ta","Khi không, bất ngờ lại đánh người ta",
Ác,"con quạ, kẻ không đáng tin cậy, không thể tin tưởng được","Mày, đừng có giao cho nó, giao cho nó khác nào gởi trứng cho ác rồi","cậu, đừng có giao cho nó, giao cho nó khác nào giao cho người không đáng tin cậy rồi",
Ác đạn,"có tính chất rất độc đáo, đặc biệt, tuyệt vời,  ác3 nhưng có ý nhấn mạnh tính mức độc cao",Cái xe này ác đạn thiệt Cả tỉnh hổng biết có được mấy chiếc như vậy!,"Cái xe này độc đáo thật Cả tỉnh không biết có được mấy chiếc như vậy!,",
Ác đạn,"ở tình trạng khó giải quyết, khó khó có thể vượt qua",Đề thì cô giáo cho ác đạn thiệt Cả lớp hồng có ai làm nổi,Đề thì cô giáo cho khó thật Cả lớp không có ai làm nổi,
Ác đạn,"ở tình trạng ngoài sự suy nghĩ, tưởng tượng của con người",Công nhận mấy cái màn biểu diễn mô tô nước ngoài ác đạn thiệt,Công nhận mấy cái màn biểu diễn mô tô nước ngoài vượt ngoài sự tưởng tượng thật,
Ác đạn cu li,"  ác đạn, cách nói có chất dân dã, mang nhiều sắc thái vui đùa",Cái máy chụp hình này ác đạn cu li thật Chắc là mắc lắm đó,"Cái máy chụp hình này độc đáo thật Chắc là mắc lắm đó,",
Ác đạn cu li,"  ác đạn, cách nói có chất dân dã, mang nhiều sắc thái vui đùa","Nó đố một câu ác đạn cu li, ai mà giải cho nổi,","Nó đố một câu khó thật, ai mà giải cho nổi,",
Ác đạn cu li,"  ác đạn, cách nói có chất dân dã, mang nhiều sắc thái vui đùa",Tốc độ chạy của con báo này ác dạn cu li thật,Tốc độ chạy của con báo này khó tin thật,
Ác nhơn," khổ ghê, từ biểu thị một sự ngạc nhiên, có phần mừng rỡ","Ác nhơn, sao đi đâu mà biệt tăm vậy cha nội?,","Khổ ghê, sao đi đâu mà biệt tăm vậy anh này?,",
Ác nhơn,từ biểu thị tình trạng không thể giải thích nổi,"Không biết gốc gác, cội nguồn người ta mà thương gì ác nhơn vậy không biết","Không biết gốc gác, cội nguồn người ta mà thương gì khó tin vậy không biết",
Ác ôn," hung ác, dữ tợn, (người) có bộ dạng, hành động độc ác, gây cảm giác sợ, kinh hãi cho người khác","Bọn ác ôn giết người không gớm tay,","Bọn hung ác giết người không gớm tay,",
Ác ôn,"ở tình trạng không thể giải thích, giải quyết được","Câu đố này ác ôn thiệt Ai mà giải cho được,","Câu đố này khó thật Ai mà giải cho được,",
Ác ôn,"ở tình trạng không thể giải thích, giải quyết được","Tình thế này ác ôn thiệt Tới lui, tính kiểu nào cũng kẹt","Tình thế này khó thật Tới lui, tính kiểu nào cũng ket",
Ác xiêm la," tuyệt, tuyệt vời, tốt vượt quá mức độ bình thường, gây cảm giác thích thú tột bậc",Tiếng đòn của nó ác xiêm la,Tiếng đòn của nó thật tuyệt vời,
Ác xiêm lai," tuyệt, tuyệt hảo, tuyệt vời, hơn hẳn mức bình thường,  ác xiêm la",Chiếc vỏ lãi này chạy ác xiêm lai,Chiếc vỏ lãi này chạy tuyệt vời,
Ác3," hay, giỏi, tuyệt vời, có tính chất vượt quá mức bình thường, từ dùng có ý khen ngợi, đề cao","Công nhận, tay này chơi dàn ác thiệt,","Công nhận, tay này chơi dàn hay thật,",
Ác4," hay, giỏi, tuyệt vời, có tính chất vượt quá mức bình thường, từ dùng có ý khen ngợi, đề cao",Khánh Ly hát nhạc Trịnh Công Sơn nghe ác thiệt,Khánh Ly hát nhạc Trịnh Công Sơn nghe hay thật,
Ách," người giữ chức vụ tương đương thượng sĩ, nhưng có quyền lực nhất định,  ách xì xằng","Nhà ông ách Khải cách đây chỉ có vài trăm mét thôi,","Nhà ông thượng sĩ Khải cách đây chị ấy có vài trăm mét thôi,",
Ách,"quân bài cao nhất trong bộ bài Tây, 52 lá, được kí hiệu A","Quánh bài xì dách, mần cái mà gặp hai con ách là quơ sạch, không chừa một ai","đánh bài xì dách, làm gì mà gặp hai con át bích là quơ sạch, không chừa một ai",
Ạch," từ mô phỏng tiếng âm thanh dược tạo nên khi bị té, hoặc một vật nặng rơi xuống đất",Bậc thềm trơn làm nó tẻ một cái ạch,Bậc thềm trơn làm nó tẻ một cái ạch,
