word,meaning,source_sentence,target_sentence,input_text,target_text
Lụi,"1. Đâm, xiên, nướng lụi.2. Tiêm, chích (thuốc).3. Nói dối, hứa bừa (nói lụi).","Bắt con cá lóc bự, lụi nướng rơm","Bắt con cá quả to, xiên nướng rơm","Lụi [SEP] 1. Đâm, xiên, nướng lụi.2. Tiêm, chích (thuốc).3. Nói dối, hứa bừa (nói lụi). [SEP] Bắt con cá lóc bự, lụi nướng rơm","Bắt con cá quả to, xiên nướng rơm"
Quằn quện,"Vằn vện, vấy bẩn","Hổm rày tụi nó cứ quằn quện hoài, có chuyện gì vậy?","Dạo này bọn chúng cứ vằn vện mãi, có chuyện gì vậy?","Quằn quện [SEP] Vằn vện, vấy bẩn [SEP] Hổm rày tụi nó cứ quằn quện hoài, có chuyện gì vậy?","Dạo này bọn chúng cứ vằn vện mãi, có chuyện gì vậy?"
Nhỉ,"1. Rỉ, thấm chảy ra chậm chạp.2. Dè sẻn, cho nhỏ giọt.",Xin mãi bả mới nhỉ cho vài đồng,"Sự keo kiệt, cho tiền một cách miễn cưỡng từng chút một.","Nhỉ [SEP] 1. Rỉ, thấm chảy ra chậm chạp.2. Dè sẻn, cho nhỏ giọt. [SEP] Xin mãi bả mới nhỉ cho vài đồng","Sự keo kiệt, cho tiền một cách miễn cưỡng từng chút một."
Ngóp,Đớp hơi trên mặt nước (cá).,Cá lên ngóp nước,Cá nổi lên đớp nước,Ngóp [SEP] Đớp hơi trên mặt nước (cá). [SEP] Cá lên ngóp nước,Cá nổi lên đớp nước
Nhím,(Tiếng lóng) Gái giang hồ.,"Rồi, mày gặp nhím rồi, mất hết tiền, nhưng chưa mất mạng đã là may",Lời an ủi khi xui xẻo vướng vào gái làng chơi và bị lột sạch tài sản.,"Nhím [SEP] (Tiếng lóng) Gái giang hồ. [SEP] Rồi, mày gặp nhím rồi, mất hết tiền, nhưng chưa mất mạng đã là may",Lời an ủi khi xui xẻo vướng vào gái làng chơi và bị lột sạch tài sản.
Dức bẩn,"Khuyên rầy, bảo ban, dạy dỗ cho người khác biết điều tốt xấu",Có thương mới dức bẩn nhau,Có thương mới khuyên bảo nhau,"Dức bẩn [SEP] Khuyên rầy, bảo ban, dạy dỗ cho người khác biết điều tốt xấu [SEP] Có thương mới dức bẩn nhau",Có thương mới khuyên bảo nhau
Bồ ột,"Heo, lợn Tiếng gọi heo",Mấy con bồ ột này tới giờ chưa kịp cho ăn là nó kêu dậy xóm,Mấy con lợn này tới giờ chưa cho ăn là nó kêu inh ỏi xóm,"Bồ ột [SEP] Heo, lợn Tiếng gọi heo [SEP] Mấy con bồ ột này tới giờ chưa kịp cho ăn là nó kêu dậy xóm",Mấy con lợn này tới giờ chưa cho ăn là nó kêu inh ỏi xóm
Kiềng,"Cùm, khóa tay chân có cẩn viền trang trí.","Cái miễu linh thiêng, Có bốn cột kiềng kiềng","Cái miếu linh thiêng, có bốn cột chạm trổ viền","Kiềng [SEP] Cùm, khóa tay chân có cẩn viền trang trí. [SEP] Cái miễu linh thiêng, Có bốn cột kiềng kiềng","Cái miếu linh thiêng, có bốn cột chạm trổ viền"
Lật (2),"Trật, lỡ nhau (tìm mà không gặp mặt).","Ảnh chỉ chắc lật nhau chuyến bắc, nên không gặp","Anh chị ấy chắc trật/lỡ nhau chuyến phà, nên không gặp","Lật (2) [SEP] Trật, lỡ nhau (tìm mà không gặp mặt). [SEP] Ảnh chỉ chắc lật nhau chuyến bắc, nên không gặp","Anh chị ấy chắc trật/lỡ nhau chuyến phà, nên không gặp"
Sanh sứa,"Sinh sự, dở chứng xấu",Già rồi mà còn sanh sứa chuyện mèo mỡ.,Già rồi còn sinh sự/thói xấu chuyện bồ bịch.,"Sanh sứa [SEP] Sinh sự, dở chứng xấu [SEP] Già rồi mà còn sanh sứa chuyện mèo mỡ.",Già rồi còn sinh sự/thói xấu chuyện bồ bịch.
